Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude
Closed,1073,Medium,Email,Pricing and licensing,1st line support,Kristos Westoll,01-09-2023 09:10,01-11-2023 09:10,01-09-2023 10:10,17:01.5,Within SLA,58:19.0,Within SLA,48:08.5,7,3,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Closed,1074,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,01-09-2023 06:50,01-10-2023 06:50,01-09-2023 06:52,54:53.8,SLA Violated,42:49.5,Within SLA,00:44.8,3,4,Ready to use Software,Tier 1,Slovenia,46.1491664,14.9860106
Closed,1075,High,Email,Product setup,1st line support,Kristos Westoll,01-09-2023 21:50,01-11-2023 21:50,01-09-2023 22:50,25:12.1,SLA Violated,54:58.0,Within SLA,36:36.5,5,2,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1076,Low,Phone,Product setup,1st line support,Bernard Beckley,01-09-2023 02:55,01-11-2023 02:55,01-09-2023 02:57,55:31.7,Within SLA,20:44.3,Within SLA,40:46.6,3,5,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1077,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,01-10-2023 02:10,01-12-2023 02:10,01-10-2023 03:10,35:28.3,Within SLA,39:27.5,Within SLA,,2,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
Closed,1078,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,01-10-2023 13:46,01-12-2023 13:46,01-10-2023 14:46,50:11.6,Within SLA,52:28.5,Within SLA,36:05.3,7,2,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1079,Low,Email,Product setup,1st line support,Kristos Westoll,01-10-2023 09:42,01-12-2023 09:42,01-10-2023 10:42,30:03.2,Within SLA,12:10.6,Within SLA,,2,,Other,Tier 1,Germany,51.165691,10.451526
Closed,1080,Low,Chat,Product setup,1st line support,Kristos Westoll,01-10-2023 03:17,01-11-2023 03:17,01-10-2023 03:19,17:37.3,Within SLA,22:15.9,Within SLA,32:23.7,3,3,Training and Consulting Services,Tier 1,Spain,39.67337,-4.767726
In progress,1081,Medium,Chat,Product setup,1st line support,Bernard Beckley,01-10-2023 04:29,01-11-2023 04:29,01-10-2023 04:31,29:36.4,Within SLA,,SLA Violated,,3,,Custom software development,Tier 1,Austria,47.6964719,13.3457347
Closed,1082,Low,Phone,Product setup,1st line support,Connor Danielovitch,01-10-2023 20:59,01-12-2023 20:59,01-10-2023 21:01,00:37.5,Within SLA,31:37.3,Within SLA,16:45.4,5,5,Custom software development,Tier 1,Poland,52.536273,19.050639
Resolved,1083,Low,Phone,Pricing and licensing,1st line support,Sheela Cutten,01-10-2023 23:30,01-12-2023 23:30,01-10-2023 23:32,31:12.5,Within SLA,58:23.9,Within SLA,,1,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
Resolved,1084,Medium,Email,Other,1st line support,Connor Danielovitch,01-10-2023 10:14,01-12-2023 10:14,01-10-2023 11:14,06:44.8,Within SLA,40:17.3,Within SLA,,7,,Other,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1085,High,Chat,Product setup,1st line support,Bernard Beckley,01-10-2023 07:30,01-11-2023 07:30,01-10-2023 07:32,31:47.8,Within SLA,50:31.4,Within SLA,35:29.9,4,5,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1086,Medium,Email,Purchasing and invoicing,1st line support,Nicola Wane,01-10-2023 17:16,01-12-2023 17:16,01-10-2023 18:16,44:04.7,Within SLA,22:02.8,Within SLA,,10,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Closed,1087,Low,Email,Feature request,2nd line support,Adolpho Messingham,01-11-2023 19:17,1/13/2023 19:17,01-11-2023 20:17,18:54.3,Within SLA,05:34.3,Within SLA,15:04.6,8,5,Ready to use Software,Tier 2,Italy,43.036776,12.678565
Closed,1088,Low,Chat,Purchasing and invoicing,1st line support,Nicola Wane,01-11-2023 11:24,01-12-2023 11:24,01-11-2023 11:26,25:37.1,Within SLA,49:43.3,Within SLA,59:59.6,8,4,Training and Consulting Services,Tier 1,Spain,39.67337,-4.767726
Resolved,1090,Low,Chat,Feature request,1st line support,Bernard Beckley,01-11-2023 00:49,01-12-2023 00:49,01-11-2023 00:51,50:15.7,Within SLA,39:13.2,Within SLA,,4,,Ready to use Software,Tier 1,Italy,43.036776,12.678565
Resolved,1092,Medium,Chat,Pricing and licensing,1st line support,Bernard Beckley,01-11-2023 12:31,01-12-2023 12:31,01-11-2023 12:33,31:53.2,Within SLA,24:21.0,Within SLA,,3,,Custom software development,Tier 1,Germany,51.165691,10.451526
Resolved,1093,Low,Email,Product setup,1st line support,Sheela Cutten,01-11-2023 13:45,1/13/2023 13:45,01-11-2023 14:45,12:45.3,Within SLA,00:02.1,Within SLA,,8,,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1094,Low,Chat,Purchasing and invoicing,1st line support,Connor Danielovitch,01-11-2023 04:04,01-12-2023 04:04,01-11-2023 04:06,05:35.5,Within SLA,03:32.4,Within SLA,,6,,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1095,Low,Chat,Feature request,1st line support,Kristos Westoll,01-11-2023 13:40,01-12-2023 13:40,01-11-2023 13:42,43:27.5,SLA Violated,43:28.7,SLA Violated,44:41.6,3,1,Custom software development,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1097,Low,Email,Product setup,1st line support,Bernard Beckley,01-11-2023 05:29,1/13/2023 5:29,01-11-2023 06:29,04:13.8,Within SLA,24:42.2,Within SLA,48:08.0,1,1,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
In progress,1098,Medium,Chat,Other,1st line support,Bernard Beckley,01-12-2023 12:18,1/13/2023 12:18,01-12-2023 12:20,19:18.6,Within SLA,,SLA Violated,,6,,Ready to use Software,Tier 1,Poland,52.536273,19.050639
Resolved,1100,Medium,Email,Feature request,2nd line support,Heather Urry,01-12-2023 22:40,1/14/2023 22:40,01-12-2023 23:40,47:08.6,Within SLA,58:22.7,Within SLA,,7,,Custom software development,Tier 2,Italy,43.036776,12.678565
Resolved,1101,High,Chat,Bug report,1st line support,Sheela Cutten,1/13/2023 15:00,1/14/2023 15:00,1/13/2023 15:02,00:36.4,Within SLA,58:00.3,Within SLA,,60,,Ready to use Software,Tier 1,Austria,47.6964719,13.3457347
Resolved,1102,Low,Chat,Other,2nd line support,Michele Whyatt,1/13/2023 15:16,1/14/2023 15:16,1/13/2023 15:18,17:30.6,Within SLA,16:38.7,Within SLA,,5,,Ready to use Software,Tier 2,Germany,51.165691,10.451526
Resolved,1103,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,1/13/2023 12:58,1/14/2023 12:58,1/13/2023 13:00,59:39.6,Within SLA,19:55.4,Within SLA,,9,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
Closed,1104,Low,Email,Feature request,1st line support,Connor Danielovitch,1/13/2023 13:30,1/15/2023 13:30,1/13/2023 14:30,37:07.1,Within SLA,50:56.7,Within SLA,50:09.6,3,5,Other,Tier 1,Italy,43.036776,12.678565
Closed,1105,Low,Chat,Feature request,1st line support,Kristos Westoll,1/13/2023 6:47,1/14/2023 6:47,1/13/2023 6:49,49:35.6,Within SLA,11:25.4,Within SLA,41:08.9,7,3,Other,Tier 1,Italy,43.036776,12.678565
In progress,1106,Low,Chat,Other,1st line support,Connor Danielovitch,1/13/2023 23:18,1/14/2023 23:18,1/13/2023 23:20,20:43.8,Within SLA,,SLA Violated,,3,,Custom software development,Tier 1,Germany,51.165691,10.451526
Closed,1107,Low,Email,Bug report,2nd line support,Michele Whyatt,1/13/2023 11:19,1/15/2023 11:19,1/13/2023 12:19,34:07.8,Within SLA,05:24.5,Within SLA,12:25.4,1,5,Ready to use Software,Tier 2,Republic of Ireland,53.094024,-8.019675
Closed,1108,Low,Email,Purchasing and invoicing,1st line support,Bernard Beckley,1/13/2023 2:10,1/15/2023 2:10,1/13/2023 3:10,28:05.3,SLA Violated,07:24.4,Within SLA,08:35.3,4,4,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1109,High,Chat,Product setup,1st line support,Nicola Wane,1/13/2023 13:38,1/14/2023 13:38,1/13/2023 13:40,38:53.8,Within SLA,29:46.7,Within SLA,36:45.5,3,3,Training and Consulting Services,Tier 1,France,48.864716,2.349014
Closed,1110,High,Email,Product setup,2nd line support,Adolpho Messingham,1/13/2023 21:32,1/15/2023 21:32,1/13/2023 22:32,27:03.3,Within SLA,06:02.2,Within SLA,07:27.6,8,2,Ready to use Software,Tier 2,United Kingdom,55.378052,-3.435973
In progress,1111,Low,Chat,Product setup,1st line support,Sheela Cutten,1/13/2023 2:49,1/14/2023 2:49,1/13/2023 2:51,52:28.0,SLA Violated,,SLA Violated,,9,,Ready to use Software,Tier 1,Spain,39.67337,-4.767726
In progress,1112,Low,Phone,Pricing and licensing,1st line support,Bernard Beckley,1/13/2023 2:22,1/15/2023 2:22,1/13/2023 2:24,23:44.1,Within SLA,,SLA Violated,,2,,Ready to use Software,Tier 1,Republic of Ireland,53.094024,-8.019675
Resolved,1113,Low,Chat,Product setup,1st line support,Bernard Beckley,1/13/2023 1:46,1/14/2023 1:46,1/13/2023 1:48,46:51.4,Within SLA,29:51.9,SLA Violated,,6,,Custom software development,Tier 1,Germany,51.165691,10.451526
Closed,1114,Medium,Email,Product setup,1st line support,Connor Danielovitch,1/13/2023 7:20,1/15/2023 7:20,1/13/2023 8:20,01:51.8,Within SLA,43:44.0,Within SLA,17:21.7,10,5,Other,Tier 1,Poland,52.536273,19.050639
Resolved,1115,Low,Chat,Pricing and licensing,1st line support,Sheela Cutten,1/13/2023 23:22,1/14/2023 23:22,1/13/2023 23:24,22:16.1,Within SLA,14:59.3,Within SLA,,3,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1116,Medium,Phone,Pricing and licensing,1st line support,Nicola Wane,1/14/2023 22:53,1/16/2023 22:53,1/14/2023 22:55,54:39.4,Within SLA,46:00.7,Within SLA,,7,,Training and Consulting Services,Tier 1,United Kingdom,55.378052,-3.435973
Closed,1126,Medium,Phone,Pricing and licensing,1st line support,Kristos Westoll,1/15/2023 13:10,1/17/2023 13:10,1/15/2023 13:12,11:21.9,Within SLA,22:43.9,SLA Violated,15:17.6,3,1,Custom software development,Tier 1,United Kingdom,55.378052,-3.435973
Resolved,1127,High,Email,Product setup,1st line support,Bernard Beckley,1/15/2023 6:08,1/17/2023 6:08,1/15/2023 7:08,47:30.1,Within SLA,23:23.5,Within SLA,,2,,Other,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1128,Low,Email,Other,1st line support,Bernard Beckley,1/15/2023 10:11,1/17/2023 10:11,1/15/2023 11:11,03:47.8,Within SLA,11:51.2,Within SLA,31:09.4,4,3,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Closed,1129,High,Phone,Pricing and licensing,1st line support,Kristos Westoll,1/15/2023 2:01,1/17/2023 2:01,1/15/2023 2:03,02:21.2,Within SLA,49:44.7,Within SLA,30:05.8,2,5,Custom software development,Tier 1,Slovenia,46.1491664,14.9860106
In progress,1130,Medium,Chat,Product setup,1st line support,Connor Danielovitch,1/16/2023 5:12,1/17/2023 5:12,1/16/2023 5:14,14:35.2,Within SLA,,SLA Violated,,6,,Ready to use Software,Tier 1,Spain,39.67337,-4.767726
Closed,1131,Low,Email,Product setup,1st line support,Sheela Cutten,1/16/2023 20:38,1/18/2023 20:38,1/16/2023 21:38,35:38.9,Within SLA,40:38.7,Within SLA,35:10.4,1,5,Ready to use Software,Tier 1,Czech Republic,49.8037633,15.4749126
Closed,1132,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,1/16/2023 15:44,1/18/2023 15:44,1/16/2023 16:44,39:29.4,Within SLA,05:13.4,Within SLA,45:34.0,9,3,Training and Consulting Services,Tier 1,Austria,47.6964719,13.3457347
Resolved,1133,High,Chat,Product setup,1st line support,Bernard Beckley,1/16/2023 19:19,1/17/2023 19:19,1/16/2023 19:21,19:48.6,Within SLA,08:15.1,Within SLA,,3,,Ready to use Software,Tier 1,Bulgaria,42.7249925,25.4833039
Closed,1134,Low,Chat,Product setup,1st line support,Sheela Cutten,1/16/2023 12:50,1/17/2023 12:50,1/16/2023 12:52,51:00.2,Within SLA,37:43.5,Within SLA,38:43.2,60,5,Custom software development,Tier 1,Spain,39.67337,-4.767726
Resolved,1135,Low,Phone,Bug report,2nd line support,Adolpho Messingham,1/16/2023 14:37,1/18/2023 14:37,1/16/2023 14:39,40:46.7,SLA Violated,04:13.5,Within SLA,,1,,Training and Consulting Services,Tier 2,Poland,52.536273,19.050639
Resolved,1136,Low,Email,Bug report,1st line support,Sheela Cutten,1/16/2023 15:35,1/18/2023 15:35,1/16/2023 16:35,08:01.7,Within SLA,41:21.8,Within SLA,,10,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Resolved,1137,Low,Email,Feature request,1st line support,Kristos Westoll,1/16/2023 7:57,1/18/2023 7:57,1/16/2023 8:57,11:48.2,Within SLA,08:31.7,Within SLA,,1,,Ready to use Software,Tier 1,Italy,43.036776,12.678565
Resolved,1138,Low,Email,Product setup,2nd line support,Heather Urry,1/17/2023 1:30,1/19/2023 1:30,1/17/2023 2:30,53:20.1,SLA Violated,04:50.1,Within SLA,,1,,Ready to use Software,Tier 2,Spain,39.67337,-4.767726
Closed,1139,Low,Chat,Feature request,1st line support,Nicola Wane,1/17/2023 11:23,1/18/2023 11:23,1/17/2023 11:25,27:11.2,SLA Violated,26:57.2,Within SLA,05:43.7,6,1,Custom software development,Tier 1,Italy,43.036776,12.678565
Resolved,1140,Low,Chat,Purchasing and invoicing,1st line support,Connor Danielovitch,1/17/2023 14:03,1/18/2023 14:03,1/17/2023 14:05,03:47.2,Within SLA,16:17.0,SLA Violated,,6,,Training and Consulting Services,Tier 1,Greece,39.368279,21.863141
Resolved,1141,Low,Chat,Other,1st line support,Nicola Wane,1/17/2023 0:04,1/18/2023 0:04,1/17/2023 0:06,04:29.2,Within SLA,24:11.2,SLA Violated,,3,,Ready to use Software,Tier 1,Germany,51.165691,10.451526
Closed,1142,Low,Email,Pricing and licensing,1st line support,Nicola Wane,1/17/2023 16:42,1/19/2023 16:42,1/17/2023 17:42,00:19.2,Within SLA,31:50.1,Within SLA,25:53.1,5,1,Ready to use Software,Tier 1,Greece,39.368279,21.863141
Resolved,1143,Low,Email,Other,2nd line support,Adolpho Messingham,1/17/2023 23:31,1/19/2023 23:31,1/18/2023 0:31,19:55.0,Within SLA,20:43.1,Within SLA,,2,,Training and Consulting Services,Tier 2,Republic of Ireland,53.094024,-8.019675
